pH,N,P,K,humidite,texture_du_sol,culture
5.63,48.71,24.58,63.87,23.32,sableux,mil
5.95,23.25,29.82,66.69,19.19,sableux,arachide
6.2,32.35,23.49,61.47,19.12,sablo-argileux,niebe
6.83,26.13,17.94,56.42,16.39,sableux,arachide
5.53,17.39,24.97,84.84,19.96,sableux,arachide
5.5,64.91,42.32,133.16,64.64,argileux,riz
5.35,48.14,37.37,133.16,63.49,argileux,riz
5.49,52.76,39.19,134.47,46.06,argileux,riz
7.14,45.47,32.12,77.27,20.31,sablo-argileux,sorgho
6.95,33.22,31.49,49.67,24.95,sablo-limoneux,arachide
7.42,51.68,19.31,72.43,30.33,sablo-argileux,sorgho
5.57,48.06,48.38,82.06,63.51,limoneux,riz
6.67,27.15,29.09,52.56,23.42,sablo-limoneux,arachide
5.82,34.12,15.94,57.73,21.63,sableux,arachide
5.83,61.34,39.22,144.74,33.46,limoneux,riz
6.85,44.67,18.73,110.65,25.98,sablo-argileux,sorgho
6.51,52.73,20.72,64.93,16.35,limono-argileux,sorgho
6.04,29.2,27.57,51.09,16.01,sablo-limoneux,arachide
6.36,53.07,42.9,62.26,42.87,limoneux,riz
6.03,46.44,21.87,103.71,23.69,sablo-argileux,sorgho
5.0,75.33,39.36,105.71,66.85,argileux,riz
5.67,16.82,30.95,65.77,19.4,sableux,arachide
5.75,39.08,24.32,87.52,14.69,sableux,arachide
6.33,23.53,30.58,80.27,11.63,sablo-limoneux,arachide
7.33,59.36,17.72,119.2,33.03,sablo-argileux,sorgho
6.39,23.14,13.91,64.59,22.0,sablo-argileux,niebe
5.85,74.19,32.55,117.02,46.31,argileux,riz
6.73,27.54,18.33,97.98,14.6,sableux,niebe
6.85,51.17,29.51,115.75,18.77,limono-argileux,sorgho
7.18,39.64,26.84,109.82,19.0,sablo-argileux,sorgho
5.36,42.61,20.26,93.99,51.24,argileux,riz
6.32,18.75,24.44,74.2,20.76,sableux,arachide
5.52,31.73,21.59,102.99,23.79,sableux,mil
6.37,20.4,21.52,94.04,15.95,sablo-argileux,niebe
6.85,47.9,26.43,117.76,23.96,sableux,mil
6.98,37.14,19.85,47.2,23.33,sablo-limoneux,arachide
5.54,36.84,26.64,77.15,10.32,sableux,arachide
6.54,32.41,20.53,87.59,11.91,sableux,arachide
6.07,21.03,21.59,70.72,23.93,sableux,arachide
5.59,74.81,43.83,145.34,42.13,argileux,riz
5.97,53.66,37.69,109.93,30.78,limono-argileux,sorgho
6.66,20.39,11.57,99.33,19.6,sablo-argileux,niebe
6.11,31.46,27.5,88.7,22.97,sableux,arachide
6.29,28.57,21.75,66.68,14.52,sablo-argileux,niebe
6.3,38.81,15.34,59.95,17.6,sablo-argileux,mil
6.52,18.78,19.53,44.55,23.3,sablo-limoneux,arachide
6.18,42.71,11.2,65.7,15.26,sableux,niebe
6.13,40.77,28.21,76.91,10.33,sablo-argileux,mil
6.62,38.73,27.77,63.23,21.27,sablo-limoneux,arachide
5.52,65.83,23.16,119.4,67.31,limoneux,riz
5.76,38.89,20.14,97.64,29.5,sablo-argileux,mil
5.74,64.82,45.64,123.53,38.66,argileux,riz
5.93,63.43,48.07,90.18,39.21,argileux,riz
6.05,70.55,29.34,114.52,31.97,argileux,riz
6.57,25.44,24.32,98.65,15.01,sableux,niebe
6.57,21.64,29.8,67.49,23.61,sableux,arachide
5.4,40.7,32.06,101.96,40.9,limoneux,riz
5.69,46.6,43.31,81.68,58.12,argileux,riz
5.59,64.02,21.51,73.81,43.8,argileux,riz
6.44,43.57,15.06,83.67,28.66,sablo-argileux,sorgho
5.86,38.23,16.46,43.28,17.56,sableux,arachide
6.03,27.81,20.04,80.84,13.53,sableux,mil
6.3,15.48,22.47,47.58,13.87,sablo-limoneux,arachide
6.29,37.7,23.58,109.33,11.11,sablo-argileux,mil
6.46,26.72,17.2,104.79,26.73,sableux,mil
6.63,38.84,24.71,103.29,27.1,sablo-argileux,mil
6.3,58.01,16.48,90.05,20.14,sablo-argileux,sorgho
6.33,36.87,27.36,117.2,26.13,sableux,mil
5.83,53.96,24.07,100.39,49.75,argileux,riz
6.46,38.91,22.88,85.94,17.07,sablo-argileux,niebe
6.5,35.51,11.46,65.17,15.34,sableux,niebe
7.03,33.84,23.54,91.78,20.45,sableux,niebe
6.9,34.62,23.47,82.42,17.02,sablo-limoneux,arachide
5.76,38.15,14.69,97.76,17.38,sableux,mil
6.28,47.49,13.66,89.88,21.77,sablo-argileux,niebe
6.42,37.87,19.03,45.02,14.35,sablo-limoneux,arachide
6.48,47.6,31.56,93.75,53.43,argileux,riz
6.21,43.66,19.06,95.34,24.71,limono-argileux,sorgho
6.82,36.38,24.75,52.75,19.83,sableux,niebe
6.44,72.12,37.41,105.84,52.71,argileux,riz
6.03,30.04,27.29,88.32,14.31,sableux,arachide
6.32,65.26,46.26,83.52,43.69,argileux,riz
6.75,30.67,30.01,49.0,10.03,sablo-limoneux,arachide
5.83,31.6,20.06,50.89,20.03,sablo-argileux,mil
