soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease,soil_type_encoded,Disease_encoded
Hydromorphes,6.6,27.7,63.8,1.48,77.4,140.0,11.8,7.3,Moyenne,Fusariose,3,2
Sableux,5.7,36.0,30.7,0.37,86.2,173.7,22.8,16.9,Faible,Sclérotiniose,5,4
Ferrugineux tropicaux,5.4,35.2,36.7,0.46,112.4,171.9,30.9,21.0,Faible,Fusariose,1,2
Argilo-sableux,6.2,31.3,40.8,0.68,68.7,154.5,25.1,27.8,Moyenne,Charcoal Rot,0,1
Hydromorphes,7.0,26.0,68.6,1.04,135.4,182.7,37.1,17.2,Élevée,Sclérotiniose,3,4
Hydromorphes,6.2,25.6,59.8,1.37,120.0,98.9,26.0,23.1,Moyenne,Anthracnose,3,0
Argilo-sableux,6.9,33.7,36.6,0.52,68.2,99.3,12.7,20.1,Moyenne,Nématodose,0,3
Ferrugineux tropicaux,5.9,32.0,34.0,0.39,107.1,127.1,26.7,27.9,Faible,Anthracnose,1,0
Ferrugineux tropicaux,5.7,32.0,36.2,0.49,73.4,157.8,33.4,9.6,Faible,Anthracnose,1,0
Hydromorphes,6.2,27.5,66.5,1.13,110.1,104.8,38.5,18.7,Élevée,Fusariose,3,2
Limoneux,6.7,32.0,41.3,0.9,92.7,90.9,27.7,8.0,Moyenne,Sclérotiniose,4,4
Argilo-sableux,7.0,28.9,40.2,0.58,141.1,78.5,12.3,27.3,Moyenne,Nématodose,0,3
Argilo-sableux,6.6,32.2,30.8,0.62,132.2,194.3,18.6,24.2,Moyenne,Sclérotiniose,0,4
Graveleux,5.8,34.2,26.8,0.23,121.2,195.9,35.3,27.6,Faible,Nématodose,2,3
Sableux,6.2,35.2,30.3,0.29,98.5,79.7,22.0,25.3,Faible,Anthracnose,5,0
Limoneux,7.0,28.7,41.1,1.12,141.4,193.2,35.0,27.0,Élevée,Fusariose,4,2
Limoneux,7.4,26.3,45.8,0.82,78.0,134.1,30.6,21.6,Moyenne,Sclérotiniose,4,4
Argilo-sableux,6.5,29.4,42.7,0.62,119.1,143.3,15.8,14.3,Moyenne,Fusariose,0,2
Argilo-sableux,6.4,30.4,37.8,0.59,78.5,112.7,20.6,18.3,Moyenne,Fusariose,0,2
Ferrugineux tropicaux,5.5,30.7,39.5,0.41,103.4,163.7,33.7,11.9,Faible,Sclérotiniose,1,4
Limoneux,6.6,30.0,50.0,1.16,79.3,187.3,24.5,11.5,Moyenne,Anthracnose,4,0
Sableux,5.8,37.3,33.5,0.32,119.1,91.3,30.0,27.0,Faible,Fusariose,5,2
Ferrugineux tropicaux,5.9,33.8,20.3,0.37,85.7,171.5,17.7,5.7,Faible,Nématodose,1,3
Sableux,6.4,32.5,34.4,0.38,96.8,159.3,33.4,13.6,Faible,Fusariose,5,2
Limoneux,7.2,27.7,50.4,1.05,77.8,108.9,12.1,7.8,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.7,35.1,36.6,0.45,60.7,191.8,12.7,8.1,Faible,Charcoal Rot,1,1
Sableux,5.9,37.8,22.7,0.28,123.5,149.2,35.3,15.3,Faible,Fusariose,5,2
Argilo-sableux,6.5,28.8,35.0,0.65,124.7,144.0,33.7,19.5,Moyenne,Fusariose,0,2
Argilo-sableux,6.1,30.5,31.3,0.6,146.4,139.3,26.5,22.2,Moyenne,Nématodose,0,3
Sableux,6.4,37.5,28.5,0.22,104.8,171.3,26.9,22.0,Faible,Nématodose,5,3
Ferrugineux tropicaux,5.7,30.7,38.0,0.42,93.7,170.5,15.8,21.9,Faible,Anthracnose,1,0
Ferrugineux tropicaux,5.3,34.1,28.5,0.44,138.7,114.6,18.8,25.0,Faible,Fusariose,1,2
Argilo-sableux,6.9,29.8,44.6,0.53,99.7,157.2,16.9,28.4,Moyenne,Fusariose,0,2
