soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease
Lixisol,6.07,40.8,26.6,0.609,6.8,128.7,0.0298,14.5,1.248,Fusarium wilt
Lixisol,6.69,29.2,32.6,0.671,11.5,62.8,0.029,3.4,1.051,Charcoal rot
Arenosol,5.93,35.1,10.7,0.423,9.5,83.4,0.0373,11.8,1.201,Charcoal rot
Lixisol,7.0,38.0,22.4,0.325,5.9,173.4,0.0414,11.5,1.099,Charcoal rot
Plinthosol,6.41,39.4,29.4,0.523,19.3,99.7,0.035,7.7,1.129,Root-knot nematodes
Regosol,6.3,42.1,23.6,0.673,14.4,190.6,0.0265,5.4,1.103,Rhizoctonia root rot
Plinthosol,6.53,32.8,20.4,0.594,10.2,71.2,0.0214,12.7,1.123,Rhizoctonia root rot
Regosol,6.27,33.5,24.4,0.599,15.6,66.6,0.0251,13.2,1.18,Fusarium wilt
Arenosol,6.13,32.4,39.5,0.746,8.0,68.7,0.0459,7.3,1.283,Pythium damping-off
Arenosol,6.16,36.0,12.6,0.293,15.7,64.0,0.0386,6.7,1.093,Fusarium wilt
Lixisol,5.81,41.3,39.1,0.774,12.9,81.5,0.0492,9.4,1.334,Rhizoctonia root rot
Regosol,6.23,43.2,25.0,0.479,15.3,147.1,0.0426,4.5,1.136,Charcoal rot
Arenosol,6.78,36.1,32.4,0.623,16.5,188.8,0.0262,12.0,1.126,Root-knot nematodes
Lixisol,5.0,42.9,22.9,0.687,12.9,164.0,0.0402,11.2,1.197,Pythium damping-off
Arenosol,5.53,37.0,36.4,0.694,6.1,176.9,0.0489,3.6,1.202,Root-knot nematodes
Arenosol,6.58,30.1,39.3,0.311,17.3,83.2,0.0252,8.8,1.003,Root-knot nematodes
Arenosol,5.2,33.4,18.5,0.439,13.2,67.0,0.0323,12.0,1.106,Root-knot nematodes
Arenosol,6.58,33.8,25.7,0.513,13.7,105.8,0.0212,10.0,1.056,Fusarium wilt
Arenosol,6.61,40.2,32.2,0.647,14.1,65.8,0.0232,11.8,1.13,Pythium damping-off
Arenosol,5.51,40.0,13.9,0.911,14.0,114.8,0.0328,6.6,1.209,Fusarium wilt
Arenosol,6.12,42.5,31.0,0.253,14.5,191.8,0.0432,7.8,1.127,Charcoal rot
Arenosol,5.56,33.3,18.4,0.88,8.2,70.1,0.0465,7.8,1.304,Pythium damping-off
Regosol,5.61,35.3,26.7,0.303,14.4,144.4,0.0258,9.1,1.028,Fusarium wilt
Arenosol,5.58,32.7,31.6,0.842,9.8,198.7,0.0317,7.8,1.206,Rhizoctonia root rot
Arenosol,6.09,42.1,20.1,0.294,6.8,126.1,0.0373,8.3,1.113,Fusarium wilt
Regosol,6.59,44.5,12.1,0.574,5.4,95.0,0.0412,4.1,1.116,Fusarium wilt
Arenosol,5.79,30.7,20.1,0.613,19.6,155.0,0.0466,3.5,1.19,Rhizoctonia root rot
Regosol,6.5,41.8,18.9,0.416,6.1,100.4,0.0376,14.3,1.191,Fusarium wilt
Arenosol,6.43,35.2,21.4,0.663,17.9,195.6,0.03,11.2,1.186,Fusarium wilt
Lixisol,5.6,33.2,23.5,0.968,12.0,78.3,0.0223,11.5,1.237,Fusarium wilt
Arenosol,5.44,33.7,20.9,0.261,19.8,178.5,0.0301,11.1,1.05,Rhizoctonia root rot
Lixisol,6.32,40.8,10.9,0.78,16.2,94.1,0.0397,14.6,1.336,Pythium damping-off
