soil_type,pH,potassium,phosphore,azote,humidite,EC,temperature,rainfall,culture_recommandee
Salin,7.73,214.4,22.8,0.11,30.3,2.4,27.6,109.7,Niébé
Limonneux,6.8,204.6,16.0,0.061,32.4,0.44,28.3,469.1,Arachide
Sableux,7.49,241.1,49.4,0.077,9.3,0.94,43.5,778.9,Sésame
Argileux,7.72,76.8,43.4,0.157,9.1,1.76,32.3,438.0,Arachide
Salin,6.2,224.6,49.7,0.127,27.5,2.22,28.4,193.5,Sésame
Argileux,6.44,171.2,32.5,0.268,9.1,1.18,44.4,207.9,Sorgho
Rocheux,7.66,263.4,42.1,0.053,35.9,1.74,38.1,154.1,Riz pluvial
Limonneux,6.15,276.5,7.3,0.28,28.6,1.7,28.3,263.6,Maïs
Rocheux,7.56,273.6,12.0,0.248,7.0,0.66,27.3,687.4,Niébé
Salin,7.2,68.9,27.9,0.297,31.6,0.84,36.5,323.7,Riz pluvial
Sableux,7.43,98.5,55.7,0.125,9.9,2.21,29.5,120.7,Sésame
Argileux,5.82,119.2,39.9,0.242,37.5,1.45,36.0,768.7,Gombo
Sableux,7.7,99.5,44.5,0.256,7.9,2.14,41.3,257.9,Sésame
Argileux,5.66,102.6,28.2,0.174,24.1,0.41,32.9,742.8,Maïs
Salin,6.29,177.5,49.1,0.027,30.1,0.69,27.4,279.6,Manioc
Argileux,5.93,186.3,14.2,0.297,23.5,0.82,33.2,494.1,Niébé
Salin,7.03,267.0,48.1,0.07,23.5,0.91,42.8,771.1,Arachide
Argileux,6.63,167.4,14.8,0.257,26.1,0.58,38.6,266.2,Gombo
Rocheux,7.95,250.0,46.8,0.24,25.6,0.2,39.3,655.3,Sésame
Rocheux,5.65,159.4,49.9,0.108,27.0,1.35,27.5,433.1,Niébé
Rocheux,7.1,222.6,41.9,0.095,5.3,1.48,34.3,601.2,Maïs
Argileux,7.18,165.5,51.5,0.102,14.4,2.03,35.2,791.7,Patate douce
Argileux,6.46,221.5,11.7,0.195,26.4,2.1,37.6,706.9,Gombo
Salin,7.69,181.0,48.5,0.144,13.4,2.16,38.9,191.0,Sorgho
Argileux,7.55,97.1,12.7,0.16,8.9,1.4,25.9,510.6,Patate douce
Rocheux,6.9,139.3,12.7,0.197,19.1,0.39,44.3,509.7,Mil
Sableux,7.04,168.1,51.5,0.294,17.8,0.35,44.9,470.8,Sésame
Salin,7.78,161.5,36.0,0.065,37.8,0.96,38.3,561.0,Niébé
Rocheux,5.92,162.7,11.2,0.208,17.8,0.16,35.9,260.3,Sorgho
Sableux,6.17,213.3,37.0,0.241,22.4,0.58,44.6,665.7,Sésame
Argileux,5.63,294.6,13.4,0.025,36.2,2.15,45.0,640.7,Riz pluvial
Rocheux,6.57,243.1,36.0,0.262,11.8,1.8,28.1,662.4,Gombo
Argileux,6.45,273.7,25.0,0.041,12.4,0.46,26.3,506.7,Maïs
Salin,5.96,254.2,39.3,0.155,7.6,1.41,37.3,619.0,Maïs
Sableux,7.55,297.4,8.9,0.249,15.6,2.05,39.0,282.0,Patate douce
Sableux,5.58,281.6,50.0,0.167,12.6,0.69,34.2,682.4,Riz pluvial
Argileux,5.91,73.0,43.3,0.044,16.4,0.81,37.2,760.2,Arachide
Rocheux,6.72,223.9,56.5,0.24,33.4,2.19,39.4,639.6,Maïs
Limonneux,7.5,252.8,20.4,0.288,18.6,2.25,36.3,389.8,Sésame
Sableux,5.98,226.2,35.1,0.056,7.5,0.75,38.9,720.9,Patate douce
Limonneux,7.57,273.7,24.9,0.024,11.4,1.82,37.0,662.8,Patate douce
Limonneux,6.93,247.7,17.1,0.06,30.9,2.49,40.9,186.6,Manioc
Rocheux,6.43,63.2,55.5,0.296,5.1,0.59,31.5,570.1,Patate douce
Rocheux,7.97,190.6,58.5,0.227,26.8,0.75,34.5,396.6,Gombo
Argileux,7.28,88.8,16.2,0.208,34.9,1.73,29.4,733.3,Riz pluvial
Argileux,6.91,207.2,45.3,0.192,25.8,1.74,34.9,743.4,Riz pluvial
Argileux,7.91,173.3,58.6,0.068,7.5,0.63,30.7,460.1,Arachide
Limonneux,7.2,75.1,36.1,0.289,9.5,1.09,41.2,750.4,Arachide
Rocheux,7.38,56.2,53.2,0.252,28.6,1.68,31.7,401.8,Mil
Sableux,5.81,130.8,16.6,0.22,9.6,2.17,41.2,636.1,Gombo
Argileux,6.8,185.5,17.4,0.294,22.0,1.95,34.0,793.4,Riz pluvial
Limonneux,5.59,51.2,18.5,0.295,38.6,1.9,32.0,468.8,Sésame
Rocheux,6.02,67.3,6.6,0.053,12.4,0.14,42.5,499.9,Sorgho
Rocheux,5.87,126.3,37.1,0.167,14.7,1.78,30.9,495.0,Sorgho
Rocheux,5.78,139.0,9.8,0.126,33.3,1.2,44.1,158.1,Patate douce
Limonneux,6.74,166.7,46.5,0.189,18.8,1.36,41.5,219.3,Riz pluvial
Limonneux,5.65,86.2,44.2,0.258,30.8,1.22,25.4,506.3,Patate douce
Sableux,7.13,106.6,55.4,0.061,8.2,1.07,42.8,368.7,Manioc
Argileux,5.97,219.5,42.2,0.19,23.6,2.21,41.1,350.8,Gombo
Limonneux,6.33,105.6,46.7,0.175,28.1,2.04,42.3,550.7,Maïs
Salin,7.59,177.7,41.3,0.18,34.4,1.7,38.7,465.9,Patate douce
Limonneux,7.34,106.6,55.6,0.212,19.7,0.33,33.7,703.4,Sésame
Rocheux,7.59,255.3,30.8,0.104,39.0,0.95,28.5,762.0,Gombo
Salin,5.58,283.6,20.7,0.251,21.4,0.69,39.4,435.2,Maïs
Salin,6.64,92.4,45.5,0.213,18.1,1.32,33.7,180.6,Niébé
Sableux,5.92,168.0,32.5,0.059,21.6,2.48,35.0,592.4,Mil
Rocheux,7.88,210.8,46.6,0.206,35.5,0.95,38.9,522.9,Sésame
Sableux,5.92,243.4,6.2,0.11,18.2,2.35,38.7,162.6,Sorgho
Rocheux,7.48,205.7,26.7,0.24,35.2,1.68,30.4,382.7,Gombo
Limonneux,7.61,183.7,17.2,0.202,5.2,1.84,25.6,248.0,Manioc
Sableux,6.35,220.3,28.8,0.169,10.3,2.12,42.0,278.4,Gombo
Sableux,7.36,138.0,28.9,0.097,27.9,0.43,37.8,531.7,Arachide
Argileux,5.78,296.9,35.0,0.285,9.6,0.42,38.3,477.2,Riz pluvial
Sableux,7.68,256.8,41.9,0.215,30.6,1.08,38.5,185.9,Manioc
Rocheux,7.59,289.4,46.2,0.059,20.2,0.63,31.3,673.4,Niébé
Rocheux,7.21,51.2,46.9,0.062,10.8,0.88,32.0,668.6,Sésame
Rocheux,7.11,94.4,7.0,0.1,25.3,1.56,35.0,360.9,Manioc
Sableux,5.82,155.3,31.6,0.171,37.6,1.67,41.2,429.4,Patate douce
Argileux,6.65,208.4,22.6,0.115,25.1,0.49,40.9,223.5,Niébé
Salin,6.48,152.5,21.5,0.103,9.4,0.68,40.4,454.9,Patate douce
Rocheux,5.65,79.5,6.6,0.18,39.6,0.44,44.5,687.7,Manioc
Rocheux,7.1,189.8,27.6,0.049,6.8,0.2,39.4,734.6,Patate douce
Argileux,7.61,253.8,7.9,0.176,37.1,1.53,36.9,414.1,Arachide
Sableux,6.99,182.7,26.4,0.134,36.9,0.73,40.3,211.2,Niébé
Rocheux,7.76,284.2,18.7,0.223,21.5,1.12,29.0,644.8,Arachide
Limonneux,6.03,229.3,7.2,0.087,35.2,1.44,26.2,274.5,Mil
Sableux,6.26,93.5,46.5,0.03,8.9,0.71,36.4,381.6,Manioc
Argileux,7.73,58.3,10.6,0.181,26.5,0.94,31.3,781.1,Mil
Salin,6.7,212.7,43.8,0.147,34.1,0.77,37.6,153.8,Riz pluvial
Salin,6.44,53.3,39.7,0.294,32.0,2.36,35.8,202.2,Sésame
Salin,5.63,133.3,5.9,0.123,33.8,1.93,34.3,323.7,Patate douce
Rocheux,6.28,286.5,20.1,0.218,39.7,2.1,39.5,755.1,Patate douce
Limonneux,6.57,64.1,40.9,0.06,6.7,0.14,32.9,417.2,Arachide
Argileux,7.95,189.0,12.4,0.159,9.8,1.68,34.6,624.4,Gombo
Rocheux,5.53,167.0,14.3,0.277,11.1,1.7,30.2,710.0,Riz pluvial
Sableux,5.79,255.9,27.3,0.07,29.0,1.21,42.6,257.6,Mil
Rocheux,7.73,192.2,31.9,0.03,23.3,1.4,39.3,673.1,Gombo
Salin,6.06,72.5,16.9,0.16,17.6,0.76,25.8,674.7,Sésame
Sableux,7.3,272.9,46.6,0.055,22.2,0.27,35.6,521.9,Sorgho
Rocheux,7.09,214.0,49.4,0.189,22.7,0.77,25.7,303.1,Maïs
Rocheux,6.35,153.3,9.3,0.267,32.8,2.32,37.6,716.1,Sorgho
Argileux,7.83,273.3,12.7,0.261,33.9,2.14,41.1,597.0,Riz pluvial
Rocheux,5.72,237.3,55.9,0.229,14.8,2.09,39.6,516.2,Arachide
Sableux,6.68,181.8,59.9,0.198,15.3,1.4,41.7,410.6,Arachide
Limonneux,6.37,245.7,57.1,0.065,7.8,1.55,34.0,144.4,Niébé
Salin,6.63,231.9,33.8,0.187,18.0,0.71,40.2,612.5,Sorgho
Salin,7.61,184.6,19.1,0.056,5.8,2.01,38.2,227.6,Mil
Salin,6.71,182.8,30.5,0.16,6.9,2.43,32.1,200.0,Arachide
Salin,6.93,247.7,14.7,0.153,8.4,1.32,35.9,192.3,Gombo
Salin,5.63,214.6,24.0,0.282,18.2,1.33,27.4,179.2,Sorgho
Argileux,6.64,289.0,38.4,0.109,24.8,1.81,30.1,193.7,Sorgho
Sableux,7.54,106.8,45.9,0.097,5.5,2.3,37.1,150.2,Sorgho
Rocheux,6.59,85.6,31.2,0.054,37.9,0.59,44.6,265.7,Maïs
Argileux,7.56,66.7,19.7,0.045,13.4,1.99,38.8,618.1,Sésame
Sableux,7.46,88.2,15.0,0.03,16.5,1.02,43.2,762.6,Arachide
Sableux,6.56,219.5,19.0,0.107,22.4,2.07,41.4,146.4,Riz pluvial
Limonneux,6.04,186.3,56.4,0.142,20.2,1.45,32.0,517.8,Maïs
Salin,7.08,196.4,9.5,0.056,13.0,0.99,32.6,704.1,Niébé
Argileux,7.0,171.6,23.6,0.264,17.0,1.16,40.4,260.9,Maïs
Rocheux,7.02,136.2,26.7,0.027,18.5,0.37,30.3,432.5,Sorgho
Argileux,5.96,63.2,21.8,0.042,7.3,0.48,40.1,376.9,Sésame
Rocheux,5.61,292.8,33.7,0.026,9.1,2.04,30.3,735.5,Sésame
Sableux,7.13,136.3,54.4,0.268,15.2,0.36,35.9,128.6,Arachide
Sableux,7.87,72.3,59.5,0.073,28.6,1.75,29.9,473.0,Gombo
Argileux,7.99,167.9,16.2,0.237,39.3,1.6,38.9,100.0,Gombo
Salin,6.52,163.2,48.7,0.091,30.2,1.03,41.8,417.4,Mil
Salin,7.96,63.0,27.5,0.195,11.9,0.68,29.9,565.8,Maïs
Argileux,7.26,225.0,12.4,0.074,15.4,2.35,43.6,439.5,Patate douce
Sableux,7.42,270.8,23.3,0.032,32.4,2.48,30.1,463.3,Niébé
Rocheux,6.28,284.4,52.8,0.021,16.9,1.02,33.1,535.2,Sésame
Rocheux,5.57,125.4,53.8,0.265,16.0,2.31,29.2,301.6,Manioc
