culture,pH,rainfall_mm,temperature_C
Mil (Pearl Millet),5.52,796.9,34.3
Sésame (Sesame),6.46,503.9,31.5
Mil (Pearl Millet),5.28,678.3,38.7
Sésame (Sesame),6.22,446.6,32.9
Mil (Pearl Millet),5.9,677.7,30.8
Patate douce (Sweet Potato),5.95,985.2,25.9
Mil (Pearl Millet),5.5,515.0,37.2
Riz pluvial (Rainfed Rice),5.98,691.1,26.8
Arachide (Groundnut),5.93,835.3,26.4
Manioc (Cassava),5.81,1278.5,30.4
Maïs (Maize),6.48,847.6,26.4
Sésame (Sesame),6.92,513.1,31.4
Gombo (Okra),6.6,747.1,21.7
Patate douce (Sweet Potato),6.06,820.9,27.6
Sésame (Sesame),6.9,628.7,33.0
Sorgho (Sorghum),6.81,408.7,25.9
Maïs (Maize),6.34,792.3,28.8
Riz pluvial (Rainfed Rice),6.27,627.5,24.5
Maïs (Maize),6.14,785.2,20.4
Riz pluvial (Rainfed Rice),6.14,675.3,27.6
Sorgho (Sorghum),6.9,474.6,34.8
Riz pluvial (Rainfed Rice),5.61,639.5,28.4
Niébé (Cowpea),6.22,555.7,34.6
Manioc (Cassava),5.75,1354.3,25.4
Niébé (Cowpea),6.11,585.3,27.8
Niébé (Cowpea),6.24,506.1,27.5
Maïs (Maize),6.31,686.6,29.2
Gombo (Okra),6.28,721.2,20.2
Sésame (Sesame),6.09,507.7,34.1
Sorgho (Sorghum),7.16,439.5,33.3
Manioc (Cassava),6.3,1395.1,28.7
Manioc (Cassava),5.56,1133.9,34.4
Manioc (Cassava),6.16,1437.0,31.5
Manioc (Cassava),6.6,1172.2,29.4
Manioc (Cassava),6.19,1163.5,29.4
Sésame (Sesame),6.82,468.2,25.6
Niébé (Cowpea),5.95,585.4,27.4
Arachide (Groundnut),5.8,565.5,22.4
Sésame (Sesame),6.65,597.9,33.3
Niébé (Cowpea),6.25,359.7,31.3
Arachide (Groundnut),6.05,528.1,28.7
Niébé (Cowpea),5.64,361.0,32.5
Maïs (Maize),6.1,641.2,28.9
Manioc (Cassava),6.72,1191.4,27.9
Sorgho (Sorghum),6.25,439.5,34.9
Manioc (Cassava),6.39,1254.9,34.7
Gombo (Okra),5.81,842.3,33.1
Arachide (Groundnut),6.17,613.9,29.4
Sésame (Sesame),6.88,429.5,30.6
Maïs (Maize),6.27,513.4,30.5
Arachide (Groundnut),5.89,895.1,23.6
Arachide (Groundnut),5.99,814.6,22.5
Mil (Pearl Millet),5.44,772.0,39.8
Maïs (Maize),6.3,863.6,29.4
Patate douce (Sweet Potato),5.81,962.0,22.6
Sésame (Sesame),6.59,493.7,28.3
Gombo (Okra),6.33,877.7,28.9
Sésame (Sesame),6.37,655.9,32.7
Sorgho (Sorghum),7.14,481.2,33.4
Arachide (Groundnut),5.91,814.8,29.0
Riz pluvial (Rainfed Rice),6.46,692.8,30.2
Maïs (Maize),6.39,586.3,26.6
Patate douce (Sweet Potato),5.95,1012.5,25.3
Niébé (Cowpea),6.35,503.0,30.9
Arachide (Groundnut),6.11,892.6,26.3
Manioc (Cassava),6.79,1168.4,30.7
Arachide (Groundnut),5.96,591.6,26.8
Manioc (Cassava),6.99,1412.1,34.7
Sorgho (Sorghum),7.45,543.6,30.5
Sorgho (Sorghum),6.65,579.1,26.7
Niébé (Cowpea),5.65,469.9,30.6
Manioc (Cassava),5.89,1455.1,28.5
Niébé (Cowpea),6.5,358.9,31.5
Mil (Pearl Millet),5.62,898.4,37.9
Sésame (Sesame),6.13,486.5,27.3
Niébé (Cowpea),6.0,589.8,29.4
Arachide (Groundnut),5.98,680.4,23.7
Patate douce (Sweet Potato),6.07,985.4,27.9
Patate douce (Sweet Potato),6.14,1029.3,22.2
Arachide (Groundnut),5.87,893.1,25.2
Patate douce (Sweet Potato),6.04,843.3,21.1
Patate douce (Sweet Potato),5.84,847.6,21.4
Gombo (Okra),6.2,733.1,22.5
Gombo (Okra),6.44,700.2,32.4
Sorgho (Sorghum),6.76,491.8,27.4
Niébé (Cowpea),5.96,460.0,28.5
Sésame (Sesame),6.39,614.0,25.4
Sorgho (Sorghum),7.24,590.8,26.4
Maïs (Maize),6.04,882.4,30.7
Arachide (Groundnut),6.14,643.6,23.7
Riz pluvial (Rainfed Rice),5.53,624.8,27.2
Arachide (Groundnut),5.83,772.8,21.8
Patate douce (Sweet Potato),5.8,967.7,25.2
Manioc (Cassava),5.92,1218.0,25.4
Arachide (Groundnut),5.96,803.6,22.4
Riz pluvial (Rainfed Rice),6.32,647.3,26.9
Manioc (Cassava),6.78,1181.8,27.2
Sésame (Sesame),6.17,486.7,31.3
Sésame (Sesame),6.31,585.3,29.0
Sésame (Sesame),6.55,565.4,34.6
Sorgho (Sorghum),6.64,535.5,32.1
Patate douce (Sweet Potato),5.98,844.9,28.1
Sésame (Sesame),6.2,606.5,33.6
Riz pluvial (Rainfed Rice),5.78,624.1,25.5
Gombo (Okra),6.43,648.5,28.6
Gombo (Okra),6.65,640.9,29.7
Sésame (Sesame),6.61,658.5,30.5
Mil (Pearl Millet),5.61,611.6,37.5
Gombo (Okra),5.93,615.5,25.7
Manioc (Cassava),5.62,1353.5,25.7
Sorgho (Sorghum),6.64,464.2,32.4
Manioc (Cassava),6.6,1220.1,28.6
Sésame (Sesame),6.96,405.0,29.9
Patate douce (Sweet Potato),5.85,846.8,26.3
Sésame (Sesame),6.6,405.3,31.5
Maïs (Maize),6.01,540.0,30.7
Sésame (Sesame),6.53,696.2,26.1
Arachide (Groundnut),6.11,787.5,29.1
Maïs (Maize),6.5,843.9,20.6
Maïs (Maize),6.02,748.1,26.3
Sorgho (Sorghum),6.29,533.7,33.3
Riz pluvial (Rainfed Rice),5.64,643.5,26.4
Patate douce (Sweet Potato),5.88,845.5,22.2
Sorgho (Sorghum),7.25,607.9,34.5
Gombo (Okra),6.08,730.0,34.6
Gombo (Okra),6.54,886.1,20.6
Gombo (Okra),6.0,856.8,23.0
Gombo (Okra),6.53,833.2,22.6
Sorgho (Sorghum),7.16,517.7,27.8
Maïs (Maize),6.08,723.7,21.0
Niébé (Cowpea),5.56,502.3,25.6
Patate douce (Sweet Potato),6.06,990.2,29.1
Niébé (Cowpea),6.12,422.5,31.8
Manioc (Cassava),6.94,1401.4,26.9
Arachide (Groundnut),5.96,510.7,25.3
Arachide (Groundnut),5.82,790.1,29.2
Mil (Pearl Millet),5.38,779.4,33.5
Mil (Pearl Millet),5.77,814.0,38.7
Sésame (Sesame),6.52,671.6,29.1
Sorgho (Sorghum),6.4,403.1,32.3
Gombo (Okra),6.74,715.0,34.8
Manioc (Cassava),6.66,1177.0,34.3
Arachide (Groundnut),6.08,672.2,27.2
Niébé (Cowpea),6.4,408.6,30.8
Manioc (Cassava),6.12,1099.7,26.1
Maïs (Maize),6.1,893.6,25.4
Gombo (Okra),5.97,656.6,34.6
Maïs (Maize),6.45,637.9,27.5
Riz pluvial (Rainfed Rice),5.59,638.5,27.7
Sorgho (Sorghum),6.09,569.1,33.7
Gombo (Okra),6.69,841.4,26.8
Sésame (Sesame),6.15,435.0,33.3
Sorgho (Sorghum),6.96,607.9,27.4
Manioc (Cassava),6.53,1318.0,25.5
Sésame (Sesame),6.59,606.4,34.3
Niébé (Cowpea),5.58,451.6,31.3
Riz pluvial (Rainfed Rice),6.28,634.4,28.7
Mil (Pearl Millet),5.55,825.4,36.8
Patate douce (Sweet Potato),5.9,919.8,22.6
Sorgho (Sorghum),6.28,621.0,27.5
Arachide (Groundnut),6.09,616.7,23.7
Arachide (Groundnut),6.08,520.9,27.2
Niébé (Cowpea),5.73,542.0,34.7
Sorgho (Sorghum),6.52,616.4,26.7
Manioc (Cassava),6.51,1003.3,25.7
Sésame (Sesame),6.61,670.0,31.9
Patate douce (Sweet Potato),5.84,972.9,29.5
Arachide (Groundnut),5.85,736.1,24.5
Niébé (Cowpea),6.22,418.8,34.8
Patate douce (Sweet Potato),6.17,782.7,25.3
Riz pluvial (Rainfed Rice),5.83,667.7,31.1
Sorgho (Sorghum),7.15,512.3,32.1
Arachide (Groundnut),6.13,717.4,29.6
Sésame (Sesame),6.81,548.2,27.5
Niébé (Cowpea),5.91,381.8,30.6
Mil (Pearl Millet),5.34,507.9,35.8
Patate douce (Sweet Potato),5.96,934.3,26.6
Gombo (Okra),6.17,842.1,20.1
Sorgho (Sorghum),6.92,468.8,32.2
Sésame (Sesame),6.11,612.1,29.3
Sésame (Sesame),6.59,576.5,29.7
Mil (Pearl Millet),5.5,842.7,35.5
Patate douce (Sweet Potato),6.01,931.3,27.8
Maïs (Maize),6.22,828.8,26.3
Gombo (Okra),6.37,839.6,23.3
Arachide (Groundnut),5.88,582.2,23.4
Mil (Pearl Millet),5.98,575.1,32.0
Riz pluvial (Rainfed Rice),6.08,658.3,25.3
Patate douce (Sweet Potato),5.94,1012.9,23.9
Gombo (Okra),6.37,662.1,23.8
Sésame (Sesame),6.73,690.3,26.5
Patate douce (Sweet Potato),5.91,825.9,21.3
Niébé (Cowpea),5.93,575.5,29.9
Mil (Pearl Millet),5.43,844.4,39.8
Mil (Pearl Millet),5.83,823.3,39.0
Manioc (Cassava),5.86,1056.2,28.5
Sésame (Sesame),6.13,505.5,34.5
Gombo (Okra),6.79,753.6,27.9
Gombo (Okra),6.26,875.7,33.9
Maïs (Maize),6.13,623.1,31.9
Arachide (Groundnut),5.83,801.4,22.5
Sorgho (Sorghum),6.21,596.6,27.9
Sorgho (Sorghum),6.73,503.3,34.4
Maïs (Maize),6.45,720.9,29.1
Arachide (Groundnut),5.99,666.1,22.8
Maïs (Maize),6.29,674.9,20.1
Gombo (Okra),6.34,626.6,24.2
Manioc (Cassava),6.49,1079.0,27.8
Gombo (Okra),6.18,844.5,28.9
Manioc (Cassava),6.39,1159.3,34.6
Sorgho (Sorghum),7.01,454.6,26.0
Gombo (Okra),6.44,833.7,20.9
Arachide (Groundnut),5.85,860.6,23.5
Niébé (Cowpea),5.72,458.6,33.9
Maïs (Maize),6.46,523.4,28.3
Riz pluvial (Rainfed Rice),6.22,628.1,28.1
Arachide (Groundnut),6.17,623.1,22.6
Mil (Pearl Millet),5.58,564.1,39.5
Niébé (Cowpea),6.03,459.8,28.3
Manioc (Cassava),5.83,1286.8,33.3
Manioc (Cassava),6.4,1268.7,28.0
Sorgho (Sorghum),7.26,411.0,31.9
Sorgho (Sorghum),6.78,523.5,31.4
Sésame (Sesame),6.45,442.0,32.7
Niébé (Cowpea),6.2,484.4,25.5
Gombo (Okra),6.51,784.2,26.5
Mil (Pearl Millet),5.83,635.3,39.8
Riz pluvial (Rainfed Rice),6.35,693.9,28.5
Maïs (Maize),6.46,826.7,30.9
Mil (Pearl Millet),5.96,621.8,37.8
Riz pluvial (Rainfed Rice),5.59,608.3,26.1
Manioc (Cassava),6.69,1337.9,31.3
Mil (Pearl Millet),5.35,504.4,39.3
Patate douce (Sweet Potato),5.99,1027.7,22.6
Sorgho (Sorghum),6.9,477.5,29.2
Maïs (Maize),6.21,507.1,27.7
Arachide (Groundnut),5.83,643.0,23.5
Niébé (Cowpea),5.61,499.2,25.1
Patate douce (Sweet Potato),5.99,1063.3,24.1
Riz pluvial (Rainfed Rice),5.64,678.1,25.4
Sorgho (Sorghum),6.38,607.9,25.4
Maïs (Maize),6.3,709.0,26.8
Patate douce (Sweet Potato),6.2,896.6,24.7
Maïs (Maize),6.34,852.1,28.9
Sésame (Sesame),6.45,406.3,30.4
Sésame (Sesame),6.63,489.2,34.1
Mil (Pearl Millet),5.7,526.2,37.0
Patate douce (Sweet Potato),5.83,891.3,24.6
Sorgho (Sorghum),6.95,573.0,27.2
Maïs (Maize),6.38,504.7,29.3
Maïs (Maize),6.2,681.2,24.9
Maïs (Maize),6.17,668.7,24.7
Gombo (Okra),6.78,700.7,27.4
Sorgho (Sorghum),7.39,512.4,28.2
Patate douce (Sweet Potato),6.06,767.1,27.3
Sorgho (Sorghum),6.96,466.0,30.2
Sorgho (Sorghum),6.17,551.5,27.5
Arachide (Groundnut),6.04,615.6,23.8
Patate douce (Sweet Potato),5.94,793.5,24.2
Arachide (Groundnut),6.07,556.2,23.0
Patate douce (Sweet Potato),6.12,1063.5,27.9
Gombo (Okra),6.77,691.7,30.1
Sorgho (Sorghum),7.47,469.6,27.7
Gombo (Okra),5.9,713.2,22.7
Mil (Pearl Millet),5.71,606.5,39.3
Manioc (Cassava),6.9,1126.7,33.5
Sésame (Sesame),6.65,666.8,27.7
Manioc (Cassava),6.57,1326.6,32.7
Arachide (Groundnut),5.83,783.6,27.4
Maïs (Maize),6.35,743.7,28.0
Sorgho (Sorghum),6.28,596.8,30.7
Mil (Pearl Millet),5.56,807.4,33.5
Manioc (Cassava),6.11,1027.9,31.0
Mil (Pearl Millet),5.3,787.8,39.6
Manioc (Cassava),6.8,1070.6,32.2
Niébé (Cowpea),6.33,501.7,31.4
Sésame (Sesame),6.32,547.5,34.6
Sésame (Sesame),6.6,532.8,30.3
Sorgho (Sorghum),6.0,640.4,31.7
Arachide (Groundnut),5.97,648.8,28.6
Manioc (Cassava),6.12,1223.7,34.7
Mil (Pearl Millet),5.69,716.7,38.9
Sésame (Sesame),6.32,473.8,26.8
Riz pluvial (Rainfed Rice),5.51,665.0,26.7
Sésame (Sesame),6.31,414.0,27.7
Mil (Pearl Millet),5.79,856.5,34.4
Riz pluvial (Rainfed Rice),5.63,608.5,25.9
Sésame (Sesame),6.54,599.5,32.8
Patate douce (Sweet Potato),6.05,941.0,21.8
Gombo (Okra),6.28,680.1,25.4
Riz pluvial (Rainfed Rice),6.11,690.7,31.3
Maïs (Maize),6.49,890.6,28.0
Arachide (Groundnut),6.08,690.1,23.5
Sésame (Sesame),6.63,695.3,28.9
Niébé (Cowpea),5.73,385.9,32.2
Niébé (Cowpea),5.67,491.7,28.2
Riz pluvial (Rainfed Rice),6.25,647.1,24.6
Gombo (Okra),6.32,620.3,24.0
Sorgho (Sorghum),7.36,401.0,32.7
Niébé (Cowpea),6.44,489.5,33.9
Maïs (Maize),6.05,733.3,32.3
Mil (Pearl Millet),5.84,762.0,34.0
Mil (Pearl Millet),5.59,743.2,36.5
Mil (Pearl Millet),5.92,515.2,36.5
Niébé (Cowpea),6.1,508.4,28.5
Riz pluvial (Rainfed Rice),6.46,626.3,24.3
Arachide (Groundnut),6.03,578.0,22.4
Patate douce (Sweet Potato),6.1,900.9,28.2
Riz pluvial (Rainfed Rice),5.53,621.6,25.2
Mil (Pearl Millet),5.9,585.7,33.5
Gombo (Okra),6.18,708.8,30.2
Manioc (Cassava),6.41,1049.6,30.8
Manioc (Cassava),5.58,1362.0,32.6
Patate douce (Sweet Potato),5.88,762.7,27.6
Patate douce (Sweet Potato),6.17,958.8,26.7
Riz pluvial (Rainfed Rice),5.89,636.5,24.2
Gombo (Okra),6.16,703.7,21.6
Maïs (Maize),6.23,839.6,23.0
Niébé (Cowpea),5.8,598.6,34.9
Arachide (Groundnut),6.05,853.1,21.9
Patate douce (Sweet Potato),6.12,832.8,29.2
Mil (Pearl Millet),5.92,521.9,38.7
Patate douce (Sweet Potato),5.83,795.6,26.2
Gombo (Okra),6.75,764.9,24.8
Arachide (Groundnut),6.15,815.5,29.6
Riz pluvial (Rainfed Rice),5.74,669.2,26.9
Mil (Pearl Millet),5.42,567.2,39.8
Arachide (Groundnut),6.0,685.0,24.1
Mil (Pearl Millet),5.44,688.9,33.6
Sésame (Sesame),6.27,429.6,28.1
Sorgho (Sorghum),6.09,505.5,29.9
Arachide (Groundnut),6.03,723.2,28.3
Maïs (Maize),6.33,592.5,30.2
Riz pluvial (Rainfed Rice),5.63,612.3,28.1
Riz pluvial (Rainfed Rice),6.29,632.1,25.0
Manioc (Cassava),6.77,1061.6,34.2
Sorgho (Sorghum),6.62,455.4,31.5
Sésame (Sesame),6.44,513.9,26.2
Niébé (Cowpea),5.8,396.3,30.1
Manioc (Cassava),5.74,1460.5,27.6
Arachide (Groundnut),5.87,585.4,22.5
Sorgho (Sorghum),6.0,464.5,34.3
Sorgho (Sorghum),7.22,542.8,33.3
Maïs (Maize),6.2,780.7,32.2
Riz pluvial (Rainfed Rice),5.55,638.1,31.5
Riz pluvial (Rainfed Rice),6.26,608.2,31.7
Riz pluvial (Rainfed Rice),5.95,686.3,31.8
Sésame (Sesame),6.79,502.1,26.8
Mil (Pearl Millet),5.42,747.5,32.8
Manioc (Cassava),5.61,1125.5,34.8
Arachide (Groundnut),6.03,695.9,26.5
Sorgho (Sorghum),6.32,563.1,25.6
Arachide (Groundnut),6.1,725.5,28.3
Sorgho (Sorghum),6.05,486.1,31.0
Sorgho (Sorghum),6.74,646.3,27.3
Niébé (Cowpea),5.78,564.1,33.1
Patate douce (Sweet Potato),6.12,1074.2,29.1
Arachide (Groundnut),5.85,818.4,23.7
Patate douce (Sweet Potato),6.01,857.2,25.7
Sésame (Sesame),6.44,464.3,34.2
Niébé (Cowpea),6.3,365.8,33.5
Patate douce (Sweet Potato),6.15,1051.7,24.9
